"month","day","year","36015020","36025010","37050010","37055010"
"01","29","2006",36.8,0,4,0.9
"01","30","2006",NA,0,0,0
"01","31","2006",0,0,0,0
"02","01","2006",0,NA,0,0
"02","02","2006",NA,NA,0,0
"02","03","2006",0,NA,0,0
"02","04","2006",NA,NA,0,0
"02","05","2006",0,NA,0,0
"02","06","2006",NA,NA,0,0
"02","07","2006",NA,NA,0,0
"02","08","2006",NA,NA,0,0
"02","09","2006",NA,NA,0,0
"02","10","2006",NA,NA,0,0
"02","11","2006",0,NA,0,0
"02","12","2006",0,NA,0,0
"02","13","2006",0,NA,0,0
"02","14","2006",0,NA,0,0
"02","15","2006",0,NA,0,0
"02","16","2006",0,NA,0,0
"02","17","2006",0,NA,0,0
"02","18","2006",0,NA,0,0
"02","19","2006",0,NA,0,0
"02","20","2006",0,NA,0,0
"02","21","2006",NA,NA,0,0
"02","22","2006",0,NA,0,0
"02","23","2006",0,NA,0,0.4
"02","24","2006",0,NA,0,0
"02","25","2006",0,NA,0,0
"02","26","2006",0,NA,0,0
"02","27","2006",NA,NA,0,0
"02","28","2006",0,NA,0,0
"03","01","2006",0,NA,0,0
"03","02","2006",NA,NA,0,0
"03","03","2006",0,NA,0,0
"03","04","2006",0,NA,0,0
"03","05","2006",0,NA,0,0
"03","06","2006",33.1,NA,7,0.5
"03","07","2006",1.1,NA,0,0
"03","08","2006",NA,NA,43,33.9
"03","09","2006",1.8,NA,4,0.2
"03","10","2006",NA,NA,0,0
"03","11","2006",0,NA,0,0
"03","12","2006",0,NA,0,0
"03","13","2006",0,NA,0,0
"03","14","2006",0,NA,0,0
"03","15","2006",0,NA,0,0.9
"03","16","2006",14.7,NA,0,0
"03","17","2006",2.2,NA,0,0
"03","18","2006",0,NA,0,0
"03","19","2006",0,NA,0,0
"03","20","2006",82.8,NA,9,11.2
"03","21","2006",NA,NA,10,0.6
"03","22","2006",NA,NA,26,17.8
"03","23","2006",1.3,NA,0,3.2
"03","24","2006",0,NA,0,0
"03","25","2006",0,NA,0,0
"03","26","2006",27.2,NA,45,9.4
"03","27","2006",14.1,NA,9,0.4
"03","28","2006",NA,NA,2,3.2
"03","29","2006",0,NA,0,0
"03","30","2006",0,NA,0,0
"03","31","2006",0,NA,0,0
"04","01","2006",NA,NA,0,0
"04","02","2006",NA,NA,0,0
"04","03","2006",NA,NA,0,0
"04","04","2006",NA,NA,0,0
"04","05","2006",NA,NA,0,0
"04","06","2006",NA,NA,4,0
"04","07","2006",NA,NA,23,2.7
"04","08","2006",NA,NA,0,0
"04","09","2006",NA,NA,0,0
"04","10","2006",0,NA,0,0
"04","11","2006",NA,NA,0,0
"04","12","2006",0,NA,0,0
"04","13","2006",5.4,NA,8,0.8
"04","14","2006",0.6,NA,12,2.2
"04","15","2006",2,NA,0,0
"04","16","2006",NA,NA,0,0
"04","17","2006",23.6,NA,2,14.1
"04","18","2006",0.1,NA,0,0
"04","19","2006",NA,NA,0,13.3
"04","20","2006",NA,NA,20,5.5
"04","21","2006",0,NA,1,0
"04","22","2006",0,NA,0,0
"04","23","2006",5.9,NA,0,0
"04","24","2006",0,NA,0,0
"04","25","2006",0,NA,0,0
"04","26","2006",47.6,NA,66,0.2
"04","27","2006",NA,NA,0,0
"04","28","2006",9.5,NA,0,27.8
"04","29","2006",0,NA,0,0
"04","30","2006",0.1,NA,0,1.1
"05","01","2006",0.5,NA,110,55.2
"05","02","2006",9.8,NA,0,0.6
"05","03","2006",0.9,NA,14,9
"05","04","2006",0.2,NA,0,0
"05","05","2006",10.2,NA,55,77.2
"05","06","2006",14.4,NA,4,9.8
"05","07","2006",4.1,NA,13,2.1
"05","08","2006",53.3,NA,32,44.8
"05","09","2006",30.5,NA,0,1.6
"05","10","2006",0,NA,0,0
"05","11","2006",0,NA,0,0
"05","12","2006",0,NA,0,0.2
"05","13","2006",0,NA,0,0.6
"05","14","2006",0.1,NA,0,0.6
"05","15","2006",0,NA,10,17.5
"05","16","2006",NA,NA,0,5.9
"05","17","2006",NA,NA,20,1.1
"05","18","2006",NA,NA,11,0
"05","19","2006",95.3,NA,0,36.1
"05","20","2006",NA,NA,0,0
"05","21","2006",NA,NA,0,0
"05","22","2006",NA,NA,0,0
"05","23","2006",NA,NA,0,0.3
"05","24","2006",NA,NA,0,1.7
"05","25","2006",0.1,NA,0,0
"05","26","2006",36.8,NA,3,7.6
"05","27","2006",0.7,NA,10,26.9
"05","28","2006",0.3,NA,25,37.6
"05","29","2006",20.6,NA,4,0
"05","30","2006",4.5,NA,0,0
"05","31","2006",1.8,NA,15,3.8
"06","01","2006",10.1,NA,2,5.4
"06","02","2006",5.4,NA,4,0
"06","03","2006",NA,NA,0,34
"06","04","2006",0,NA,0,0
"06","05","2006",9.1,NA,0,1.2
"06","06","2006",0.4,NA,0,7.3
"06","07","2006",20.6,NA,0,0.6
"06","08","2006",37.4,NA,5,11.2
"06","09","2006",0,NA,3,0
"06","10","2006",39.4,NA,68,11.7
"06","11","2006",0.8,NA,15,1.6
"06","12","2006",NA,NA,0,0.5
"06","13","2006",NA,NA,0,2.5
"06","14","2006",NA,NA,10,26.2
"06","15","2006",NA,NA,0,0
