"month","day","year","23145020","23195110","24055070"
"03","12","2006",90,88,NA
"03","13","2006",92,84,NA
"03","14","2006",86,85,NA
"03","15","2006",86,NA,NA
"03","16","2006",92,78,NA
"03","17","2006",89,81,NA
"03","18","2006",NA,81,NA
"03","19","2006",86,NA,NA
"03","20","2006",91,82,NA
"03","21","2006",94,80,NA
"03","22","2006",91,NA,NA
"03","23","2006",91,83,NA
"03","24","2006",82,NA,NA
"03","25","2006",NA,82,NA
"03","26","2006",NA,NA,NA
"03","27","2006",88,81,NA
"03","28","2006",88,84,NA
"03","29","2006",85,NA,NA
"03","30","2006",82,84,NA
"03","31","2006",83,NA,NA
"04","01","2006",NA,80,NA
"04","02","2006",NA,NA,NA
"04","03","2006",89,NA,NA
"04","04","2006",89,78,24.2083333333333
"04","05","2006",94,NA,24.0416666666667
"04","06","2006",NA,80,NA
"04","07","2006",NA,NA,23.9583333333333
"04","08","2006",NA,80,23.9583333333333
"04","09","2006",89,80,23.7916666666667
"04","10","2006",85,NA,23.625
"04","11","2006",96,84,NA
"04","12","2006",NA,88,23.9166666666667
"04","13","2006",NA,NA,NA
"04","14","2006",92,89,23.75
"04","15","2006",89,88,23.7916666666667
"04","16","2006",92,NA,23.7083333333333
"04","17","2006",92,86,23.6666666666667
"04","18","2006",NA,82,23.625
"04","19","2006",93,85,23.6666666666667
"04","20","2006",87,NA,23.4583333333333
"04","21","2006",91,79,NA
"04","22","2006",NA,NA,23.3333333333333
"04","23","2006",95,86,23.5833333333333
"04","24","2006",NA,90,23.625
"04","25","2006",95,93,23.7916666666667
"04","26","2006",83,89,22.3333333333333
"04","27","2006",89,NA,22.625
"04","28","2006",93,82,23.0416666666667
"04","29","2006",NA,NA,NA
"04","30","2006",95,NA,NA
"05","01","2006",91,87,23.625
"05","02","2006",85,88,23.7916666666667
"05","03","2006",NA,85,23.5
"05","04","2006",92,82,NA
"05","05","2006",95,NA,23.4166666666667
"05","06","2006",88,82,NA
"05","07","2006",88,NA,NA
"05","08","2006",86,81,NA
"05","09","2006",86,89,23.5
"05","10","2006",94,NA,23.6666666666667
"05","11","2006",NA,NA,23.9166666666667
"05","12","2006",87,91,23.6666666666667
"05","13","2006",86,89,NA
"05","14","2006",85,NA,NA
"05","15","2006",89,83,23.3333333333333
"05","16","2006",NA,94,23.4166666666667
"05","17","2006",NA,NA,23.5
"05","18","2006",90,92,23.625
"05","19","2006",92,NA,23.25
"05","20","2006",NA,NA,NA
"05","21","2006",91,84,23.4166666666667
"05","22","2006",NA,82,NA
"05","23","2006",84,81,23.2083333333333
"05","24","2006",NA,81,NA
"05","25","2006",NA,NA,23.2916666666667
"05","26","2006",NA,84,23.125
"05","27","2006",NA,83,23.0416666666667
"05","28","2006",92,NA,22.5416666666667
"05","29","2006",NA,89,21.75
"05","30","2006",93,NA,NA
"05","31","2006",NA,83,22.5833333333333
"06","01","2006",95,NA,23.625
"06","02","2006",NA,NA,23.8333333333333
"06","03","2006",93,NA,23.8333333333333
"06","04","2006",NA,NA,23.5833333333333
"06","05","2006",90,NA,NA
"06","06","2006",93,90,NA
"06","07","2006",98,NA,NA
"06","08","2006",NA,92,23.875
"06","09","2006",91,NA,23.9166666666667
"06","10","2006",NA,91,23.9166666666667
"06","11","2006",NA,NA,23.8333333333333
"06","12","2006",92,77,23.8333333333333
"06","13","2006",92,NA,23.9166666666667
"06","14","2006",NA,88,NA
"06","15","2006",90,NA,23.9166666666667
"06","16","2006",NA,NA,23.8333333333333
"06","17","2006",NA,88,23.75
"06","18","2006",94,NA,23.7916666666667
"06","19","2006",91,85,23.9166666666667
"06","20","2006",84,NA,23.7916666666667
"06","21","2006",91,83,24
"06","22","2006",NA,82,NA
"06","23","2006",NA,89,NA
"06","24","2006",NA,NA,23.7083333333333
"06","25","2006",91,NA,23.5833333333333
"06","26","2006",NA,83,23.5
"06","27","2006",90,76,22.8333333333333
"06","28","2006",87,84,NA
"06","29","2006",95,81,NA
"06","30","2006",NA,86,NA
"07","01","2006",NA,NA,NA
"07","02","2006",NA,75,NA
"07","03","2006",NA,84,NA
"07","04","2006",NA,93,NA
"07","05","2006",NA,NA,NA
"07","06","2006",NA,82,NA
"07","07","2006",NA,89,NA
"07","08","2006",NA,81,NA
"07","09","2006",NA,NA,NA
"07","10","2006",NA,82,NA
"07","11","2006",NA,80,NA
"07","12","2006",NA,82,21.9583333333333
"07","13","2006",NA,87,NA
"07","14","2006",NA,NA,NA
"07","15","2006",NA,81,NA
"07","16","2006",NA,NA,NA
"07","17","2006",NA,NA,NA
"07","18","2006",94,81,NA
"07","19","2006",90,NA,22.2083333333333
"07","20","2006",NA,88,22.2916666666667
"07","21","2006",NA,86,22.4583333333333
"07","22","2006",NA,NA,NA
"07","23","2006",NA,NA,NA
"07","24","2006",NA,91,NA
"07","25","2006",NA,87,22.6666666666667
"07","26","2006",NA,NA,NA
"07","27","2006",NA,92,NA
"07","28","2006",94,NA,NA
"07","29","2006",NA,87,NA
"07","30","2006",NA,NA,NA
"07","31","2006",NA,NA,22.7083333333333
"08","01","2006",NA,NA,NA
"08","02","2006",NA,88,23.125
"08","03","2006",NA,NA,24
"08","04","2006",NA,NA,23.5
"08","05","2006",95,NA,23.125
"08","06","2006",93,NA,23.2916666666667
"08","07","2006",NA,80,NA
"08","08","2006",95,87,22.875
"08","09","2006",96,NA,22.8333333333333
"08","10","2006",NA,87,22.875
"08","11","2006",94,85,23
"08","12","2006",NA,NA,23
"08","13","2006",91,72,23
"08","14","2006",95,NA,NA
"08","15","2006",90,NA,NA
"08","16","2006",92,NA,NA
"08","17","2006",94,NA,NA
"08","18","2006",92,90,23
"08","19","2006",NA,NA,23.0416666666667
"08","20","2006",88,NA,23.5833333333333
"08","21","2006",NA,92,23.5416666666667
"08","22","2006",NA,87,NA
"08","23","2006",NA,82,NA
"08","24","2006",91,NA,23
"08","25","2006",NA,NA,23
"08","26","2006",92,NA,23.4583333333333
"08","27","2006",93,NA,23.4166666666667
"08","28","2006",92,75,23
"08","29","2006",NA,73,22.9583333333333
"08","30","2006",94,83,NA
"08","31","2006",NA,84,NA
"09","01","2006",NA,NA,23
"09","02","2006",NA,85,23
"09","03","2006",NA,NA,23.0416666666667
"09","04","2006",NA,88,23
"09","05","2006",88,NA,NA
"09","06","2006",92,84,NA
"09","07","2006",90,NA,NA
"09","08","2006",81,80,24.0416666666667
"09","09","2006",NA,NA,24
"09","10","2006",87,NA,24
"09","11","2006",NA,89,23.9583333333333
"09","12","2006",84,76,24
"09","13","2006",89,82,24
"09","14","2006",85,NA,NA
"09","15","2006",NA,85,NA
"09","16","2006",NA,NA,NA
"09","17","2006",NA,91,24
"09","18","2006",91,NA,24
"09","19","2006",86,89,24
"09","20","2006",88,88,24
"09","21","2006",89,83,24
"09","22","2006",NA,NA,NA
"09","23","2006",NA,74,NA
"09","24","2006",NA,NA,24
"09","25","2006",89,87,NA
