Ambiente,Clon,pH,matOrg,Fosforo,Aluminio,Potasio,Calcio,Magnesio,Sodio,Repeticion,indiceMazorca,indiceGrano,fenolesTot,actAntxd,porcAceite,acPalmitico,acEstearico,acOleico,acLinoleico,porcCenizas,rT_C,Catequina,Epicatequina
Arauca,CCN 51,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,3,15,1.37,22.546,2236.872,36.048,29.739,33.296,31.818,3.256,4.963,8.913183984,4.601,25.616
Arauca,FEAR 5,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,1,22,1.12,22.716,2273.209,44.863,29.24,33.525,32.386,2.963,4.432,6.222,2.714,27.28
Arauca,FEAR 5,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,2,22,1.12,22.658,2266.673,43.102,29.294,33.51,32.34,2.962,4.238,6.099335277,2.812,27.508
Arauca,FEAR 5,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,3,22,1.12,23.047,2236.902,43.983,29.336,33.612,32.188,2.971,3.961,6.1801145,2.763,27.394
Arauca,FEC 2,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,1,15,1.38,14.177,1624.291,46.321,29.407,32.124,33.807,2.732,3.991,5.118840017,4.234,23.648
Arauca,FEC 2,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,2,15,1.38,13.789,1658.923,45.023,29.365,32.107,33.754,2.7,3.954,5.612360643,4.326,26.645
Arauca,FEC 2,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,3,15,1.38,13.439,1640.65,45.672,29.396,32.139,33.786,2.731,3.554,5.005885062,4.28,25.147
Arauca,FLE 3,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,1,15,1.35,9.895,2076.257,37.333,27.493,35.537,32.752,2.601,3.817,5.345319598,7.833,3.139
Arauca,FLE 3,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,2,15,1.35,9.964,2050.754,36.025,27.446,35.482,32.714,2.608,3.759,5.405259118,10.785,4.826
Arauca,FLE 3,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,3,15,1.35,9.651,2009.641,36.679,27.466,35.407,32.7,2.621,3.997,5.067198654,9.309,3.982
Arauca,FSA 12,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,1,16,1.33,8.226,1479.961,53.518,26.193,36.436,32.658,2.886,3.438,6.148034447,1.469,28.257
Arauca,FSA 12,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,2,16,1.33,7.842,1476.526,52.813,26.267,36.235,32.644,2.916,3.539,5.978084775,1.498,26.533
Arauca,FSA 12,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,3,16,1.33,7.642,1532.827,53.165,26.276,36.308,32.64,2.908,3.924,6.190114709,1.484,27.395
Arauca,FSV 41,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,1,13,1.89,9.126,970.733,41.081,32,30.126,33.323,2.238,3.985,3.077051594,2.359,25.763
Arauca,FSV 41,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,2,13,1.89,8.557,1006.847,39.994,32.033,30.015,33.394,2.241,3.834,3.076843032,1.841,24.327
Arauca,FSV 41,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,3,13,1.89,8.872,969.938,40.538,31.803,30.184,33.347,2.228,4.016,3.100935971,2.1,25.045
Arauca,ICS 95,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,1,27,0.96,6.389,1623.301,36.694,29.511,29.574,35.34,3.48,4.949,3.588355987,4.618,35.365
Arauca,ICS 95,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,2,27,0.96,6.082,1658.133,37.215,29.274,29.733,35.392,3.45,4.052,3.569232842,4.313,33.452
Arauca,ICS 95,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,3,27,0.96,6.834,1640.538,36.955,29.448,29.703,35.441,3.451,4.051,3.637910614,4.465,34.409
Arauca,SCC 23,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,1,16,1.41,29.833,2418.339,46.501,26.263,36.845,32.51,2.535,4.322,2.998259937,20.94,9.58
Arauca,SCC 23,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,2,16,1.41,29.835,2343.69,45.971,26.242,36.84,32.535,2.542,4.174,3.003020499,17.883,9.328
Arauca,SCC 23,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,3,16,1.41,31.17,2555.124,46.236,26.397,36.703,32.557,2.578,3.993,2.953063127,19.412,9.454
Arauca,SCC 55,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,1,19,1.31,11.838,2023.587,37.73,29.392,32.109,33.792,2.717,5.118,3.667229415,4.356,38.045
Arauca,SCC 55,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,2,19,1.31,12.255,2011.798,38.74,29.277,32.172,33.741,2.706,4.104,3.657856816,4.474,38.31
Arauca,SCC 55,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,3,19,1.31,12.308,2014.392,38.235,29.381,32.124,33.771,2.716,4.755,3.605069281,4.415,38.178
Arauca,SCC 80,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,1,24,1.06,13.877,2137.36,48.152,27.545,34.627,33.137,2.89,5.269,5.591440283,4.412,35.062
Arauca,SCC 80,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,2,24,1.06,13.729,2154.195,49.243,27.641,34.573,33.058,2.933,4.542,5.742209195,4.975,32.583
Arauca,SCC 80,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,3,24,1.06,13.349,2198.381,48.697,27.568,34.647,33.091,2.896,3.97,5.262874934,4.693,33.822
